epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,47.6333,1.31977,0.88171,1.96621,0.98665,1,0.995,0.80459,0.96262,0.74553,1.79456,0.0011684,0.0011684,0.0011684
44,48.7004,1.44368,0.91652,2.0483,0.97881,1,0.995,0.71382,1.07515,0.73875,1.9373,0.0011486,0.0011486,0.0011486
45,49.7105,1.33296,0.84755,1.91373,0.94783,1,0.995,0.70988,1.01803,0.78781,1.83798,0.0011288,0.0011288,0.0011288
46,50.7621,1.38604,0.92772,1.9779,0.99151,1,0.995,0.69863,1.12452,0.74024,1.86022,0.001109,0.001109,0.001109
47,51.8959,1.36302,0.87094,1.97876,0.98779,1,0.995,0.83138,0.855,0.69775,1.74495,0.0010892,0.0010892,0.0010892
48,52.9526,1.30212,0.86523,1.91099,0.99197,1,0.995,0.78429,0.87635,0.72586,1.70027,0.0010694,0.0010694,0.0010694
49,53.9535,1.36073,0.85472,1.92356,0.98984,1,0.995,0.75625,0.94693,0.7047,1.68905,0.0010496,0.0010496,0.0010496
50,54.9879,1.32421,0.80884,1.89759,0.99165,1,0.995,0.7864,0.91569,0.63303,1.69217,0.0010298,0.0010298,0.0010298
51,56.134,1.38811,0.86339,1.96527,1,0.96759,0.995,0.76506,0.95994,0.73693,1.71614,0.00101,0.00101,0.00101
52,57.1838,1.39721,0.87541,2.02188,0.90812,1,0.9875,0.66122,1.01404,0.96413,1.78507,0.0009902,0.0009902,0.0009902
53,58.2073,1.3487,0.86758,1.94755,0.98969,1,0.995,0.59127,1.37891,0.73651,2.01468,0.0009704,0.0009704,0.0009704
54,59.232,1.34225,0.88629,1.99164,0.91505,1,0.9875,0.7127,1.11187,0.67219,1.94955,0.0009506,0.0009506,0.0009506
55,60.2869,1.35053,0.82288,1.93223,0.99392,1,0.995,0.76812,0.94764,0.64279,1.73229,0.0009308,0.0009308,0.0009308
56,61.4282,1.35619,0.82837,1.88724,0.9921,1,0.995,0.65383,1.33326,0.75925,2.06525,0.000911,0.000911,0.000911
57,62.448,1.23768,0.78286,1.85054,0.90976,1,0.9875,0.72129,1.15966,0.66397,1.85214,0.0008912,0.0008912,0.0008912
58,63.4845,1.27951,0.7802,1.82954,1,0.9701,0.995,0.82671,0.90062,0.60054,1.71507,0.0008714,0.0008714,0.0008714
59,64.514,1.27482,0.77893,1.85423,0.99408,1,0.995,0.80715,0.77859,0.59749,1.68693,0.0008516,0.0008516,0.0008516
