epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,45.7645,1.29331,0.84046,1.89384,0.98997,1,0.995,0.78099,0.95228,0.66405,1.66125,0.0015842,0.0015842,0.0015842
44,46.8121,1.39931,0.86496,1.97184,0.99365,1,0.995,0.80608,0.93471,0.57637,1.67005,0.0015743,0.0015743,0.0015743
45,47.7645,1.28351,0.81057,1.83144,0.98992,1,0.995,0.71719,1.01266,0.81257,1.68814,0.0015644,0.0015644,0.0015644
46,48.6925,1.32382,0.83242,1.90102,0.99274,1,0.995,0.79561,0.88104,0.67845,1.6433,0.0015545,0.0015545,0.0015545
47,49.7588,1.40524,0.83876,1.9521,0.99422,1,0.995,0.73213,1.04333,0.67027,1.81023,0.0015446,0.0015446,0.0015446
48,50.8119,1.35267,0.85438,1.9086,0.99468,1,0.995,0.75699,0.98619,0.65493,1.74526,0.0015347,0.0015347,0.0015347
49,51.8312,1.31758,0.8376,1.86945,0.99037,1,0.995,0.7314,0.94922,0.73289,1.63891,0.0015248,0.0015248,0.0015248
50,52.8496,1.30925,0.82183,1.85848,0.98416,1,0.995,0.73925,0.90893,0.68606,1.59367,0.0015149,0.0015149,0.0015149
51,53.9667,1.34899,0.81328,1.90202,0.99199,1,0.995,0.71913,1.07179,0.72703,1.72826,0.001505,0.001505,0.001505
52,55.098,1.35191,0.82556,1.9175,1,0.99089,0.995,0.78726,0.91856,0.72205,1.61298,0.0014951,0.0014951,0.0014951
53,56.1244,1.28229,0.81578,1.85858,0.97629,1,0.995,0.683,1.21501,0.71719,1.87823,0.0014852,0.0014852,0.0014852
54,57.1735,1.34598,0.82671,1.91824,0.98817,1,0.995,0.67441,1.23376,0.76972,1.86471,0.0014753,0.0014753,0.0014753
55,58.1989,1.37648,0.82011,1.91028,1,0.89694,0.9875,0.66231,1.23904,0.86325,1.91432,0.0014654,0.0014654,0.0014654
56,59.2164,1.36195,0.81919,1.87254,0.98089,1,0.995,0.68957,1.2203,0.76542,1.83847,0.0014555,0.0014555,0.0014555
57,60.3218,1.22055,0.76507,1.78845,0.98331,1,0.995,0.69009,1.10166,0.62115,1.77049,0.0014456,0.0014456,0.0014456
58,61.3467,1.28766,0.76297,1.80388,1,0.99975,0.995,0.74219,0.95306,0.74253,1.71183,0.0014357,0.0014357,0.0014357
59,62.3775,1.21295,0.74003,1.79448,1,0.98293,0.995,0.71956,1.07668,0.78483,1.79721,0.0014258,0.0014258,0.0014258
60,63.4259,1.29355,0.77131,1.87126,0.99441,1,0.995,0.72327,0.96359,0.55377,1.65335,0.0014159,0.0014159,0.0014159
61,64.4982,1.26826,0.75058,1.79684,0.99399,1,0.995,0.78506,0.84103,0.57044,1.51917,0.001406,0.001406,0.001406
62,65.4363,1.22184,0.73132,1.80493,0.96474,1,0.995,0.7112,0.99274,0.77506,1.64325,0.0013961,0.0013961,0.0013961
63,66.3579,1.16673,0.69413,1.71014,0.99434,1,0.995,0.74645,0.86732,0.60985,1.5156,0.0013862,0.0013862,0.0013862
64,67.3094,1.21585,0.74666,1.77336,0.99158,1,0.995,0.73119,1.04144,0.61008,1.62628,0.0013763,0.0013763,0.0013763
65,68.2075,1.27271,0.76726,1.83036,0.98837,1,0.995,0.72111,1.05333,0.66609,1.68171,0.0013664,0.0013664,0.0013664
66,69.1904,1.33312,0.74788,1.89033,0.99452,1,0.995,0.77406,0.99409,0.60842,1.59696,0.0013565,0.0013565,0.0013565
67,70.122,1.35544,0.76232,1.89834,0.99406,1,0.995,0.80467,0.84067,0.56527,1.50592,0.0013466,0.0013466,0.0013466
68,71.0466,1.21565,0.74252,1.7799,0.99407,1,0.995,0.77622,0.90019,0.52882,1.47676,0.0013367,0.0013367,0.0013367
69,71.9715,1.20557,0.71947,1.72204,0.99445,1,0.995,0.77655,0.93172,0.58981,1.5411,0.0013268,0.0013268,0.0013268
70,72.9695,1.20293,0.70805,1.71003,0.99116,1,0.995,0.81396,0.77851,0.52073,1.40086,0.0013169,0.0013169,0.0013169
71,73.8992,1.25682,0.7211,1.79355,0.9944,1,0.995,0.80754,0.85062,0.55049,1.50817,0.001307,0.001307,0.001307
72,74.8801,1.18808,0.68337,1.72104,0.99363,1,0.995,0.78705,0.95856,0.56395,1.55841,0.0012971,0.0012971,0.0012971
73,75.8635,1.13834,0.68922,1.66632,0.99408,1,0.995,0.75761,0.91243,0.51446,1.52172,0.0012872,0.0012872,0.0012872
74,76.9564,1.18481,0.686,1.71083,0.99468,1,0.995,0.77067,0.90686,0.55214,1.49114,0.0012773,0.0012773,0.0012773
75,78.0671,1.20239,0.68559,1.77405,0.994,1,0.995,0.74401,0.97917,0.54544,1.55061,0.0012674,0.0012674,0.0012674
76,79.078,1.16468,0.6685,1.67914,0.97772,1,0.995,0.78079,0.8559,0.54404,1.48482,0.0012575,0.0012575,0.0012575
77,80.0757,1.19886,0.69568,1.75858,0.99473,1,0.995,0.7577,0.92083,0.47886,1.52996,0.0012476,0.0012476,0.0012476
78,81.0801,1.23947,0.75656,1.78818,0.99369,1,0.995,0.80509,0.79256,0.50416,1.43887,0.0012377,0.0012377,0.0012377
79,82.1629,1.16956,0.6733,1.67863,0.99455,1,0.995,0.78384,0.8716,0.53706,1.49229,0.0012278,0.0012278,0.0012278
80,83.2406,1.19562,0.67864,1.71037,0.99503,1,0.995,0.72842,0.97748,0.54396,1.59044,0.0012179,0.0012179,0.0012179
81,84.2397,1.15117,0.67906,1.69466,0.99472,1,0.995,0.84617,0.73917,0.5189,1.41255,0.001208,0.001208,0.001208
82,85.3228,1.17662,0.69078,1.71426,0.99398,1,0.995,0.75971,0.94023,0.59745,1.52443,0.0011981,0.0011981,0.0011981
83,86.3629,1.21027,0.71978,1.71622,0.99338,1,0.995,0.76977,1.02373,0.56014,1.55756,0.0011882,0.0011882,0.0011882
84,87.5146,1.10404,0.63122,1.62823,0.98764,1,0.995,0.72116,0.9651,0.70244,1.56648,0.0011783,0.0011783,0.0011783
85,88.5272,1.1084,0.66313,1.66714,0.99327,1,0.995,0.79644,0.78576,0.64388,1.39609,0.0011684,0.0011684,0.0011684
86,89.5666,1.08006,0.65033,1.65329,0.99326,1,0.995,0.78136,0.85498,0.55756,1.48438,0.0011585,0.0011585,0.0011585
87,90.5671,1.23718,0.68993,1.76319,0.99359,1,0.995,0.81867,0.8342,0.54389,1.4383,0.0011486,0.0011486,0.0011486
88,91.6531,1.07731,0.65187,1.60503,0.9949,1,0.995,0.79275,0.89881,0.47017,1.49629,0.0011387,0.0011387,0.0011387
89,92.6386,1.13534,0.64298,1.68032,0.99483,1,0.995,0.78323,0.86691,0.48517,1.45417,0.0011288,0.0011288,0.0011288
90,93.631,1.14316,0.64483,1.62962,0.9944,1,0.995,0.80491,0.77172,0.45529,1.41272,0.0011189,0.0011189,0.0011189
91,94.6353,1.12191,0.6315,1.64139,0.99501,1,0.995,0.79454,0.93036,0.55752,1.50435,0.001109,0.001109,0.001109
92,95.6409,1.16079,0.68435,1.73519,0.99503,1,0.995,0.80558,0.85556,0.52289,1.4409,0.0010991,0.0010991,0.0010991
93,96.7104,1.06351,0.6352,1.63996,0.99486,1,0.995,0.77332,0.90362,0.46154,1.49872,0.0010892,0.0010892,0.0010892
94,97.7011,1.10365,0.63808,1.65237,0.99438,1,0.995,0.76335,0.88503,0.52176,1.44516,0.0010793,0.0010793,0.0010793
95,98.7035,1.14673,0.66231,1.69909,0.99464,1,0.995,0.79871,0.7502,0.4682,1.39748,0.0010694,0.0010694,0.0010694
96,99.6989,1.17389,0.65291,1.70849,0.99475,1,0.995,0.77948,0.84633,0.49071,1.42301,0.0010595,0.0010595,0.0010595
97,100.743,1.14033,0.62411,1.67327,0.99483,1,0.995,0.76534,0.94224,0.48786,1.51219,0.0010496,0.0010496,0.0010496
98,101.747,1.05438,0.60271,1.59972,0.99277,1,0.995,0.80899,0.81295,0.47603,1.43839,0.0010397,0.0010397,0.0010397
99,102.743,1.08625,0.61706,1.57241,0.99483,1,0.995,0.80957,0.89714,0.48448,1.49473,0.0010298,0.0010298,0.0010298
100,103.765,1.11532,0.60708,1.64341,0.99419,1,0.995,0.79786,0.927,0.50413,1.50601,0.0010199,0.0010199,0.0010199
101,104.768,1.10594,0.59763,1.61779,0.99442,1,0.995,0.7942,0.84658,0.442,1.44517,0.00101,0.00101,0.00101
102,105.889,1.08392,0.58472,1.61495,0.99488,1,0.995,0.80624,0.88033,0.46114,1.49053,0.0010001,0.0010001,0.0010001
103,106.907,1.06704,0.59818,1.61521,0.9948,1,0.995,0.75685,0.89773,0.46773,1.49255,0.0009902,0.0009902,0.0009902
104,107.834,1.09734,0.59864,1.64079,0.99425,1,0.995,0.83168,0.77808,0.47262,1.33569,0.0009803,0.0009803,0.0009803
105,108.741,1.10102,0.65081,1.6819,0.99401,1,0.995,0.77537,0.91523,0.48469,1.44308,0.0009704,0.0009704,0.0009704
106,109.647,1.02822,0.59416,1.57271,0.99455,1,0.995,0.78973,0.86475,0.45137,1.4444,0.0009605,0.0009605,0.0009605
107,110.658,1.0995,0.61919,1.63892,0.99406,1,0.995,0.74324,0.99108,0.51415,1.59197,0.0009506,0.0009506,0.0009506
108,111.595,1.05914,0.59769,1.59818,0.99432,1,0.995,0.78695,0.92573,0.50435,1.50873,0.0009407,0.0009407,0.0009407
109,112.502,1.09526,0.60817,1.61034,0.99453,1,0.995,0.73975,1.01559,0.51732,1.5789,0.0009308,0.0009308,0.0009308
110,113.43,1.13041,0.63233,1.6237,0.99508,1,0.995,0.79987,0.77834,0.4907,1.36064,0.0009209,0.0009209,0.0009209
111,114.363,1.14951,0.63842,1.70727,0.99447,1,0.995,0.76781,0.90094,0.47049,1.44653,0.000911,0.000911,0.000911
112,115.405,1.08178,0.59661,1.61367,0.99486,1,0.995,0.83329,0.78614,0.47647,1.36194,0.0009011,0.0009011,0.0009011
113,116.41,1.08349,0.59622,1.62818,0.99475,1,0.995,0.79054,0.9002,0.50109,1.48009,0.0008912,0.0008912,0.0008912
114,117.446,1.06389,0.61745,1.61694,0.99418,1,0.995,0.8363,0.75889,0.41786,1.33607,0.0008813,0.0008813,0.0008813
115,118.5,1.05965,0.57921,1.57534,0.99438,1,0.995,0.80614,0.85018,0.46472,1.44576,0.0008714,0.0008714,0.0008714
116,119.63,1.07563,0.57277,1.57404,0.99521,1,0.995,0.78682,0.87533,0.44525,1.41434,0.0008615,0.0008615,0.0008615
117,120.625,1.05057,0.60751,1.60895,0.9946,1,0.995,0.77751,0.92607,0.50215,1.44731,0.0008516,0.0008516,0.0008516
118,121.672,1.09268,0.58276,1.63761,0.99498,1,0.995,0.77799,0.91146,0.45965,1.51251,0.0008417,0.0008417,0.0008417
119,122.642,1.0986,0.61761,1.60823,0.99497,1,0.995,0.77008,0.94048,0.46827,1.499,0.0008318,0.0008318,0.0008318
120,123.665,1.05512,0.57337,1.59227,0.99432,1,0.995,0.82564,0.77131,0.42519,1.33578,0.0008219,0.0008219,0.0008219
121,124.664,1.0197,0.58816,1.5539,0.9942,1,0.995,0.84201,0.74219,0.42002,1.32109,0.000812,0.000812,0.000812
122,125.706,1.04409,0.58549,1.55738,0.99481,1,0.995,0.76654,0.94091,0.48289,1.45416,0.0008021,0.0008021,0.0008021
123,126.741,1.05226,0.60331,1.55634,0.99416,1,0.995,0.81555,0.80544,0.44458,1.37103,0.0007922,0.0007922,0.0007922
124,127.786,1.0731,0.58823,1.61342,0.9943,1,0.995,0.81119,0.83921,0.44188,1.38745,0.0007823,0.0007823,0.0007823
125,128.893,1.05706,0.57733,1.56853,0.99483,1,0.995,0.78993,0.90822,0.46593,1.4389,0.0007724,0.0007724,0.0007724
126,129.935,1.06974,0.59476,1.60927,0.99429,1,0.995,0.79881,0.84986,0.47151,1.38392,0.0007625,0.0007625,0.0007625
127,130.996,1.07903,0.60657,1.6151,0.99461,1,0.995,0.78916,0.85794,0.457,1.41473,0.0007526,0.0007526,0.0007526
128,132.039,1.12278,0.58942,1.60136,0.99433,1,0.995,0.78487,0.85253,0.42858,1.43295,0.0007427,0.0007427,0.0007427
129,133.144,1.01163,0.56318,1.60969,0.9946,1,0.995,0.82003,0.85495,0.40968,1.41891,0.0007328,0.0007328,0.0007328
130,134.197,1.01974,0.55979,1.55586,0.99483,1,0.995,0.7833,0.87685,0.4076,1.41625,0.0007229,0.0007229,0.0007229
131,135.271,0.95958,0.53613,1.47525,0.99492,1,0.995,0.77694,0.89837,0.45019,1.44567,0.000713,0.000713,0.000713
132,136.328,1.0393,0.54454,1.57663,0.99469,1,0.995,0.73423,0.95148,0.44252,1.51594,0.0007031,0.0007031,0.0007031
133,137.332,1.04431,0.56135,1.59551,0.9947,1,0.995,0.78642,0.93333,0.44048,1.4727,0.0006932,0.0006932,0.0006932
134,138.452,1.02198,0.55287,1.52336,0.99489,1,0.995,0.79393,0.89003,0.4326,1.45475,0.0006833,0.0006833,0.0006833
135,139.493,0.99364,0.5633,1.53487,0.99486,1,0.995,0.79417,0.80812,0.39409,1.36543,0.0006734,0.0006734,0.0006734
136,140.535,1.03894,0.5721,1.62462,0.99495,1,0.995,0.80688,0.73776,0.41236,1.31098,0.0006635,0.0006635,0.0006635
137,141.55,1.0032,0.54273,1.55696,0.99494,1,0.995,0.83179,0.74117,0.43453,1.31523,0.0006536,0.0006536,0.0006536
138,142.658,1.01057,0.5456,1.51884,0.99478,1,0.995,0.80345,0.84883,0.39888,1.38764,0.0006437,0.0006437,0.0006437
139,143.7,1.0636,0.57638,1.59074,0.99498,1,0.995,0.79868,0.82697,0.42362,1.36382,0.0006338,0.0006338,0.0006338
140,144.731,1.0484,0.56059,1.55975,0.99452,1,0.995,0.79813,0.91699,0.44068,1.44819,0.0006239,0.0006239,0.0006239
141,145.731,0.97463,0.5508,1.50143,0.99454,1,0.995,0.77898,0.9146,0.42594,1.42614,0.000614,0.000614,0.000614
142,146.791,0.93191,0.51634,1.48544,0.99422,1,0.995,0.80877,0.82765,0.47228,1.33623,0.0006041,0.0006041,0.0006041
143,147.995,0.97242,0.53278,1.54218,0.99301,1,0.995,0.81023,0.80818,0.40953,1.3624,0.0005942,0.0005942,0.0005942
144,149.155,0.96217,0.53283,1.48893,0.99485,1,0.995,0.78385,0.83187,0.44321,1.39894,0.0005843,0.0005843,0.0005843
145,150.243,1.02168,0.52857,1.52725,0.99491,1,0.995,0.82443,0.82015,0.40565,1.36563,0.0005744,0.0005744,0.0005744
146,151.348,0.96262,0.53762,1.49775,0.99504,1,0.995,0.76998,0.90215,0.40726,1.47139,0.0005645,0.0005645,0.0005645
147,152.743,0.97323,0.52301,1.50865,0.99495,1,0.995,0.79584,0.83802,0.44604,1.42345,0.0005546,0.0005546,0.0005546
148,153.806,1.03481,0.56334,1.52819,0.99474,1,0.995,0.80486,0.83827,0.38959,1.39171,0.0005447,0.0005447,0.0005447
149,154.853,1.01592,0.55005,1.57828,0.99472,1,0.995,0.79584,0.87945,0.39276,1.41432,0.0005348,0.0005348,0.0005348
150,155.928,1.01515,0.53835,1.54145,0.9951,1,0.995,0.81836,0.87671,0.39655,1.41203,0.0005249,0.0005249,0.0005249
151,157.091,1.03083,0.54766,1.55627,0.99468,1,0.995,0.80767,0.87491,0.40157,1.38796,0.000515,0.000515,0.000515
152,158.145,0.99118,0.54081,1.50039,0.99465,1,0.995,0.79737,0.88118,0.40751,1.41412,0.0005051,0.0005051,0.0005051
153,159.154,0.93851,0.51583,1.48103,0.99488,1,0.995,0.79626,0.8335,0.39014,1.35895,0.0004952,0.0004952,0.0004952
154,160.213,0.92757,0.53155,1.45368,0.9949,1,0.995,0.77962,0.84971,0.44175,1.38143,0.0004853,0.0004853,0.0004853
155,161.286,1.02232,0.54965,1.55372,0.99508,1,0.995,0.83042,0.7964,0.41686,1.31151,0.0004754,0.0004754,0.0004754
156,162.456,0.96478,0.53147,1.50097,0.99484,1,0.995,0.85011,0.73647,0.41614,1.27127,0.0004655,0.0004655,0.0004655
157,163.509,1.01454,0.54619,1.56019,0.99464,1,0.995,0.82555,0.80131,0.42019,1.31631,0.0004556,0.0004556,0.0004556
158,164.552,0.99596,0.55174,1.54741,0.99487,1,0.995,0.82059,0.8438,0.39903,1.35336,0.0004457,0.0004457,0.0004457
159,165.589,0.95169,0.51862,1.52398,0.99512,1,0.995,0.79287,0.8815,0.39826,1.40201,0.0004358,0.0004358,0.0004358
160,166.658,1.01513,0.53983,1.55572,0.99467,1,0.995,0.78955,0.85099,0.37963,1.39362,0.0004259,0.0004259,0.0004259
161,167.74,0.97792,0.54072,1.53153,0.99465,1,0.995,0.79317,0.85155,0.38782,1.38854,0.000416,0.000416,0.000416
162,168.741,1.01791,0.53283,1.5205,0.99471,1,0.995,0.74737,0.97654,0.43632,1.55667,0.0004061,0.0004061,0.0004061
